timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663313397171,488,GraphQL-CreatePost - Activity,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-4",text,true,,1246,2177,10,10,https://staging.sproutabout.com/service/graphql,488,0,0
1663313397367,322,GraphQL-CreatePost - Activity,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-10",text,true,,1246,2177,10,10,https://staging.sproutabout.com/service/graphql,322,0,0
1663313397435,331,GraphQL-CreatePost Potty Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-6",text,true,,1422,2525,10,10,https://staging.sproutabout.com/service/graphql,331,0,0
1663313397485,333,GraphQL-CreatePost Potty Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-2",text,true,,1422,2525,10,10,https://staging.sproutabout.com/service/graphql,332,0,0
1663313397528,336,GraphQL-CreatePost - Activity,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-9",text,true,,1246,2177,10,10,https://staging.sproutabout.com/service/graphql,336,0,0
1663313397564,355,GraphQL-CreatePost - Activity,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-8",text,true,,1246,2177,10,10,https://staging.sproutabout.com/service/graphql,355,0,0
1663313397685,364,GraphQL-CreatePost Food Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-1",text,true,,1396,2634,10,10,https://staging.sproutabout.com/service/graphql,363,0,0
1663313397759,331,GraphQL-CreatePost Potty Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-10",text,true,,1422,2525,10,10,https://staging.sproutabout.com/service/graphql,330,0,0
1663313397782,323,GraphQL-CreatePost Food Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-6",text,true,,1396,2634,10,10,https://staging.sproutabout.com/service/graphql,323,0,0
1663313397757,354,GraphQL-CreatePost Potty Feed,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-4",text,true,,1422,2525,10,10,https://staging.sproutabout.com/service/graphql,354,0,0
